Name,Sex,Team,NOC,Year,City,Sport,Event,Medal
Lewis Baumer,M,Great Britain,GBR,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Drawings And Water Colors",No medal
Lewis Baumer,M,Great Britain,GBR,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Drawings And Water Colors",No medal
Lewis Baumer,M,Great Britain,GBR,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Drawings And Water Colors",No medal
Lewis Baumer,M,Great Britain,GBR,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Lewis Baumer,M,Great Britain,GBR,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Lewis Baumer,M,Great Britain,GBR,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Lewis Baumer,M,Great Britain,GBR,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Lewis Baumer,M,Great Britain,GBR,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Lewis Baumer,M,Great Britain,GBR,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Friedrich Baur,M,Latvia,LAT,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Drawings And Water Colors",No medal
Friedrich Baur,M,Latvia,LAT,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Drawings And Water Colors",No medal
Friedrich Baur,M,Latvia,LAT,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Drawings And Water Colors",No medal
Friedrich Baur,M,Latvia,LAT,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Drawings And Water Colors",No medal
Friedrich Baur,M,Latvia,LAT,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Friedrich Baur,M,Latvia,LAT,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Friedrich Baur,M,Latvia,LAT,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Reynolds Beal,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Reynolds Beal,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Reynolds Beal,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Julian Beddington,M,Great Britain,GBR,1948,London,Art Competitions,"Art Competitions Mixed Painting, Paintings",No medal
Julian Beddington,M,Great Britain,GBR,1948,London,Art Competitions,"Art Competitions Mixed Painting, Paintings",No medal
George Belcher,M,Great Britain,GBR,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Drawings And Water Colors",No medal
George Belcher,M,Great Britain,GBR,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Drawings And Water Colors",No medal
George Belcher,M,Great Britain,GBR,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Drawings And Water Colors",No medal
George Bellows,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
George Bellows,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Mario Beltrami,M,Italy,ITA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Mario Beltrami,M,Italy,ITA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Raoul Bnard,M,France,FRA,1924,Paris,Art Competitions,Art Competitions Mixed Sculpturing,No medal
Raoul Bnard,M,France,FRA,1924,Paris,Art Competitions,Art Competitions Mixed Sculpturing,No medal
Frank Benson,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Frank Benson,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Frank Benson,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Frank Benson,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Frank Benson,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Frank Benson,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Frank Benson,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Frank Benson,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Frank Benson,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Frank Benson,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Frank Benson,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Charlotte Berend-corinth,F,Germany,GER,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Charlotte Berend-corinth,F,Germany,GER,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Charlotte Berend-corinth,F,Germany,GER,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Gustav Bertel-nordstrm,M,Sweden,SWE,1936,Berlin,Art Competitions,"Art Competitions Mixed Painting, Paintings",No medal
Gustav Bertel-nordstrm,M,Sweden,SWE,1936,Berlin,Art Competitions,"Art Competitions Mixed Painting, Paintings",No medal
Lopold Bvire,M,France,FRA,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning",No medal
Lopold Bvire,M,France,FRA,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning",No medal
Lopold Bvire,M,France,FRA,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning",No medal
Lopold Bvire,M,France,FRA,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",No medal
Lopold Bvire,M,France,FRA,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",No medal
Lopold Bvire,M,France,FRA,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",No medal
Johann Beyeler,M,Switzerland,SUI,1936,Berlin,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",No medal
Johann Beyeler,M,Switzerland,SUI,1936,Berlin,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",No medal
Johann Beyeler,M,Switzerland,SUI,1936,Berlin,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",No medal
Johann Beyeler,M,Switzerland,SUI,1936,Berlin,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",No medal
Johann Beyeler,M,Switzerland,SUI,1936,Berlin,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",No medal
Johann Beyeler,M,Switzerland,SUI,1936,Berlin,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",No medal
Johann Beyeler,M,Switzerland,SUI,1936,Berlin,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",No medal
Lisa (wadstrm-),F,Sweden,SWE,1936,Berlin,Art Competitions,"Art Competitions Mixed Painting, Paintings",No medal
Lisa (wadstrm-),F,Sweden,SWE,1936,Berlin,Art Competitions,"Art Competitions Mixed Painting, Paintings",No medal
Lisa (wadstrm-),F,Sweden,SWE,1936,Berlin,Art Competitions,"Art Competitions Mixed Painting, Paintings",No medal
Lisa (wadstrm-),F,Sweden,SWE,1936,Berlin,Art Competitions,"Art Competitions Mixed Painting, Paintings",No medal
Lisa (wadstrm-),F,Sweden,SWE,1936,Berlin,Art Competitions,"Art Competitions Mixed Painting, Paintings",No medal
Lisa (wadstrm-),F,Sweden,SWE,1936,Berlin,Art Competitions,"Art Competitions Mixed Painting, Paintings",No medal
Lisa (wadstrm-),F,Sweden,SWE,1936,Berlin,Art Competitions,"Art Competitions Mixed Painting, Paintings",No medal
Gustaf Birch-lindgren,M,Sweden,SWE,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Architecture, Unknown Event",No medal
Gustaf Birch-lindgren,M,Sweden,SWE,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Architecture, Unknown Event",No medal
Gustaf Birch-lindgren,M,Sweden,SWE,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Architecture, Unknown Event",No medal
Gustaf Birch-lindgren,M,Sweden,SWE,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Architecture, Unknown Event",No medal
Richard Bishop,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Richard Bishop,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Richard Bishop,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Richard Bishop,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Richard Bishop,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Richard Bishop,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
John Jr.,M,United States,USA,1904,St. Louis,Gymnastics,Gymnastics Men's Individual All-Around,No medal
John Jr.,M,United States,USA,1904,St. Louis,Gymnastics,"Gymnastics Men's Individual All-Around, Field Sports",No medal
John Jr.,M,United States,USA,1904,St. Louis,Gymnastics,"Gymnastics Men's Individual All-Around, Apparatus Work",No medal
Carl Bjrkman,M,Sweden,SWE,1912,Stockholm,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",No medal
Carl Bjrkman,M,Sweden,SWE,1912,Stockholm,Shooting,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",Bronze
Carl Bjrkman,M,Sweden,SWE,1912,Stockholm,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",No medal
Carl Bjrkman,M,Sweden,SWE,1912,Stockholm,Shooting,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",Bronze
Gaston Blanchy,M,Olle,FRA,1900,Paris,Sailing,Sailing Mixed 2-3 Ton,Gold
Gaston Blanchy,M,Olle,FRA,1900,Paris,Sailing,Sailing Mixed 2-3 Ton,Gold
Stig Blomberg,M,Sweden,SWE,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Sculpturing, Unknown Event",No medal
Stig Blomberg,M,Sweden,SWE,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Sculpturing, Unknown Event",No medal
Acee Eagle,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Acee Eagle,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Acee Eagle,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Acee Eagle,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Acee Eagle,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Acee Eagle,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Acee Eagle,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Acee Eagle,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Acee Eagle,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Acee Eagle,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Acee Eagle,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Acee Eagle,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Acee Eagle,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Acee Eagle,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Acee Eagle,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Acee Eagle,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Acee Eagle,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Johannes Boehland,M,Germany,GER,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Johannes Boehland,M,Germany,GER,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Cornelis Bolding,M,Netherlands,NED,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Drawings And Water Colors",No medal
Cornelis Bolding,M,Netherlands,NED,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Drawings And Water Colors",No medal
Thyra Boldsen,F,Denmark,DEN,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Sculpturing, Unknown Event",No medal
Thyra Boldsen,F,Denmark,DEN,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Sculpturing, Unknown Event",No medal
John Borein,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
John Borein,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
John Borein,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
John Borein,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
John Borein,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
John Borein,M,United States,USA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Claes Borg,M,Sweden,SWE,1924,Paris,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
Claes Borg,M,Sweden,SWE,1924,Paris,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
Leonardo Borgese,M,Italy,ITA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Leonardo Borgese,M,Italy,ITA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Pietro Borsari,M,Switzerland,SUI,1936,Berlin,Art Competitions,"Art Competitions Mixed Sculpturing, Medals",No medal
Pietro Borsari,M,Switzerland,SUI,1936,Berlin,Art Competitions,"Art Competitions Mixed Sculpturing, Medals",No medal
Pietro Borsari,M,Switzerland,SUI,1936,Berlin,Art Competitions,"Art Competitions Mixed Sculpturing, Medals",No medal
Pietro Borsari,M,Switzerland,SUI,1936,Berlin,Art Competitions,"Art Competitions Mixed Sculpturing, Medals",No medal
Pietro Borsari,M,Switzerland,SUI,1936,Berlin,Art Competitions,"Art Competitions Mixed Sculpturing, Medals",No medal
Karl Borschke,M,Austria,AUT,1936,Berlin,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Karl Borschke,M,Austria,AUT,1936,Berlin,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Karl Borschke,M,Austria,AUT,1936,Berlin,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Karl Borschke,M,Austria,AUT,1936,Berlin,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Karl Borschke,M,Austria,AUT,1936,Berlin,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Karl Borschke,M,Austria,AUT,1936,Berlin,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Karl Borschke,M,Austria,AUT,1936,Berlin,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Karl Borschke,M,Austria,AUT,1936,Berlin,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Karl Borschke,M,Austria,AUT,1936,Berlin,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Karl Borschke,M,Austria,AUT,1936,Berlin,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Karl Borschke,M,Austria,AUT,1948,London,Art Competitions,"Art Competitions Mixed Painting, Paintings",No medal
Karl Borschke,M,Austria,AUT,1948,London,Art Competitions,"Art Competitions Mixed Painting, Paintings",No medal
Karl Borschke,M,Austria,AUT,1948,London,Art Competitions,"Art Competitions Mixed Painting, Paintings",No medal
Karl Borschke,M,Austria,AUT,1948,London,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Karl Borschke,M,Austria,AUT,1948,London,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Gerard Drakestein,M,Netherlands,NED,1908,London,Cycling,Cycling Men's Sprint,No medal
Gerard Drakestein,M,Netherlands,NED,1908,London,Cycling,Cycling Men's Sprint,No medal
Rudolf Bttger,M,Austria,AUT,1936,Berlin,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Rudolf Bttger,M,Austria,AUT,1936,Berlin,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Marcel Bouraine,M,France,FRA,1924,Paris,Art Competitions,Art Competitions Mixed Sculpturing,No medal
Marcel Bouraine,M,France,FRA,1924,Paris,Art Competitions,Art Competitions Mixed Sculpturing,No medal
Marcel Bouraine,M,France,FRA,1924,Paris,Art Competitions,Art Competitions Mixed Sculpturing,No medal
Marcel Bouraine,M,France,FRA,1924,Paris,Art Competitions,Art Competitions Mixed Sculpturing,No medal
Marcel Bouraine,M,France,FRA,1924,Paris,Art Competitions,Art Competitions Mixed Sculpturing,No medal
Marcel Bouraine,M,France,FRA,1924,Paris,Art Competitions,Art Competitions Mixed Sculpturing,No medal
Marcel Bouraine,M,France,FRA,1924,Paris,Art Competitions,Art Competitions Mixed Sculpturing,No medal
Marcel Bouraine,M,France,FRA,1924,Paris,Art Competitions,Art Competitions Mixed Sculpturing,No medal
